product_id,title,category,initial_price,final_price,discount,rating,ratings_count,seller_name,total_amount
8376765,Lino Perros,backpacks,3995.0,"""₹3,995.00""",58.0,3.8,15,Unknown,"""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00""""₹3,995.00"""
9136281,Tommy Hilfiger,backpacks,2899.0,"""₹2,899.00""",35.0,4.5,67,Unknown,"""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00"""
17633752,Lavie,backpacks,2999.0,"""₹2,999.00""",65.0,4.4,226,Unknown,"""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00"""
1376949,F Gear,backpacks,1675.0,"""₹1,675.00""",52.0,4.4,1052,Unknown,"""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00""""₹1,675.00"""
13939916,MYTRIDENT,bath-robe,2899.0,"""₹2,899.00""",17.0,4.7,12,Unknown,"""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00""""₹2,899.00"""
19851824,AVI Living,bath-towels,1399.0,"""₹1,399.00""",65.0,4.0,5,Unknown,"""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00"""
17198778,H&M,bathroom-accessories,1399.0,"""₹1,399.00""",56.0,4.5,42,H &███Hen███ & █████████eta█████████████████████,"""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00""""₹1,399.00"""
18602872,My Room,bedsheets,2999.0,"""₹2,999.00""",54.0,4.7,10,Unknown,"""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00""""₹2,999.00"""
8961147,Story@home,bedsheets,2199.0,"""₹2,199.00""",53.0,3.7,7,Unknown,"""₹2,199.00""""₹2,199.00""""₹2,199.00""""₹2,199.00""""₹2,199.00""""₹2,199.00""""₹2,199.00"""
18346118,Arrabi,bedsheets,3329.0,"""₹865.00""",74.0,0.0,0,Sig███Ove███as,
