transaction_id,user_id,transaction_date,region,product_category,sale_amount,city
T951,U229,2024-03-08,North,Grocery,,Lucknow
T1171,U222,2024-06-26,North,Clothing,3394.5,Jaipur
T724,U113,2024-06-23,East,Furniture,57371.3,Patna
T1277,U203,2024-01-28,North,Grocery,1112.53,Chandigarh
T647,U113,2024-02-17,West,Furniture,33041.73,Pune
T1269,U69,2024-06-01,South,Electronics,33798.97,Chennai
T779,U153,2024-02-12,West,Electronics,12180.31,Pune
T1799,U77,2024-05-01,West,Clothing,2651.82,Pune
T572,U88,2024-06-18,East,Electronics,23803.65,Patna
T2057,U32,2024-04-27,South,Beauty,2656.8,Kochi
T218,U79,2024-06-03,East,Furniture,28373.23,Bhubaneswar
T1835,U46,2024-05-28,East,Furniture,4968.41,Kolkata
T1731,U222,2024-02-21,West,Grocery,1640.73,Pune
T1973,U254,2024-04-10,South,Grocery,812.11,Bengaluru
T569,U164,2024-06-05,West,Clothing,,Surat
T564,U236,2024-03-07,South,Sports,4237.01,
T267,U197,2024-05-02,East,Furniture,56980.59,Bhubaneswar
T184,U14,2024-02-01,North,Beauty,1038.94,Jaipur
T619,U175,2024-03-27,West,Furniture,20586.38,Pune
T780,U223,2024-03-01,East,Beauty,446.98,Patna
T281,U41,2024-03-07,North,Sports,2527.17,Jaipur
T679,U149,2024-02-15,West,Clothing,2610.4,Surat
T1388,U247,2024-01-12,South,Grocery,952.01,Kochi
T2101,U4,2024-05-12,East,Beauty,1367.61,Patna
T1641,U17,2024-01-11,North,Beauty,1839.98,Chandigarh
T1719,U227,2024-06-11,North,Clothing,2252.81,Chandigarh
T986,U155,2024-03-14,West,Grocery,252.67,Pune
T750,U208,2024-01-03,East,Grocery,640.69,Patna
T805,U280,2024-02-13,North,Furniture,27402.49,Lucknow
T1620,U279,2024-01-21,South,Sports,2425.75,Chennai
T1524,U258,2024-01-06,North,Clothing,418.14,Jaipur
T709,U206,2024-03-26,West,Furniture,57909.64,Pune
T1341,U284,2024-02-02,South,Grocery,414.02,Chennai
T1297,U132,2024-03-14,South,Grocery,501.44,Kochi
T1773,U126,2024-05-09,North,Electronics,17658.45,Delhi
T648,U207,2024-01-12,East,Sports,2755.29,Kolkata
T1563,U74,2024-05-14,East,Grocery,130.61,Kolkata
T710,U3,2024-01-27,East,Beauty,1362.59,Patna
T1464,U23,2024-02-02,East,Clothing,4309.21,Kolkata
T521,U40,2024-02-12,North,Sports,7099.76,Jaipur
T632,U177,2024-06-05,East,Beauty,2113.5,Bhubaneswar
T1035,U227,2024-03-23,West,Electronics,7401.45,Surat
T613,U85,2024-01-25,South,Grocery,675.17,Hyderabad
T1909,U98,2024-06-25,East,Electronics,19275.87,Patna
T513,U104,2024-02-11,East,Electronics,1584.69,Patna
T1309,U185,2024-01-01,East,Clothing,1035.9,Kolkata
T1497,U225,2024-06-27,South,Grocery,720.4,Bengaluru
T1813,U272,2024-04-14,North,Furniture,42118.79,Jaipur
T434,U179,2024-01-15,West,Grocery,1625.19,Pune
T227,U27,2024-06-21,North,Clothing,653.63,Delhi
T833,U273,2024-01-06,East,Furniture,34080.56,Bhubaneswar
T1253,U46,2024-02-10,South,Electronics,30916.53,Bengaluru
T447,U81,2024-04-15,West,Grocery,1991.47,Surat
T1635,U27,2024-03-03,East,Electronics,,Bhubaneswar
T2137,U53,2024-06-26,East,Furniture,41087.27,Patna
T1976,U15,2024-05-08,East,Beauty,1559.75,Bhubaneswar
T1120,U33,2024-04-12,West,Sports,6765.59,Surat
T1360,U83,2024-02-27,West,Grocery,602.41,Mumbai
T45,U290,2024-05-11,North,Sports,5772.11,Jaipur
T38,U249,2024-04-07,South,Grocery,770.37,Chennai
T1018,U273,2024-03-15,North,Grocery,1785.97,Delhi
T1784,U122,2024-02-01,North,Electronics,49940.9,Lucknow
T1762,U19,2024-04-17,East,Clothing,2271.27,Bhubaneswar
T1878,U3,2024-03-23,East,Sports,886.71,Kolkata
T854,U26,2024-02-10,South,Clothing,3913.65,Kochi
T2007,U96,2024-06-05,East,Grocery,1015.18,Patna
T1278,U290,2024-06-22,East,Beauty,471.91,Kolkata
T1498,U223,2024-01-12,East,Grocery,584.1,Kolkata
T1289,U49,2024-06-15,West,Electronics,45877.36,Mumbai
T1615,U212,2024-04-12,North,Beauty,2924.8,Chandigarh
T1299,U184,2024-03-19,East,Furniture,,Kolkata
T204,U167,2024-05-20,West,Grocery,331.67,Mumbai
T410,U266,2024-05-19,East,Clothing,2077.44,Patna
T34,U28,2024-06-21,West,Furniture,43964.6,Mumbai
T2010,U269,2024-02-08,East,Beauty,,Bhubaneswar
T106,U142,2024-05-01,East,Grocery,1445.75,Kolkata
T16,U135,2024-06-19,South,Clothing,1252.74,Kochi
T1551,U61,2024-03-03,West,Grocery,868.68,Pune
T1800,U261,2024-05-23,North,Furniture,50012.88,Jaipur
T3,U112,2024-02-17,West,Sports,5251.59,Pune
T1039,U229,2024-06-22,West,Grocery,991.12,
T1291,U227,2024-01-10,South,Electronics,34039.44,Chennai
T1603,U217,2024-03-09,East,Grocery,157.13,Kolkata
T1586,U185,2024-05-28,South,Sports,6227.27,Chennai
T888,U255,2024-02-12,South,Grocery,1059.7,Hyderabad
T723,U247,2024-01-09,West,Sports,6340.95,Surat
T1901,U143,2024-02-21,West,Sports,6808.61,Ahmedabad
T392,U285,2024-05-14,West,Electronics,18018.76,Mumbai
T1130,U121,2024-03-07,East,Sports,2639.9,Patna
T159,U239,2024-03-22,East,Furniture,56768.9,Kolkata
T905,U115,2024-02-28,North,Furniture,11817.83,Lucknow
T265,U208,2024-03-17,East,Grocery,1700.37,Kolkata
T484,U122,2024-04-16,West,Sports,2346.63,Pune
T1386,U85,2024-06-07,East,Grocery,1219.59,Patna
T1389,U217,2024-05-20,South,Furniture,2168.85,
T1906,U45,2024-05-15,West,Electronics,9533.8,Mumbai
T1407,U96,2024-06-05,East,Grocery,1015.18,Patna
T359,U98,2024-01-09,South,Electronics,9814.08,Chennai
T654,U276,2024-05-01,West,Sports,,
T260,U255,2024-06-16,North,Electronics,36490.53,Lucknow
T1806,U210,2024-03-03,North,Clothing,,Delhi
T2034,U274,2024-06-24,West,Furniture,53052.45,Pune
T328,U95,2024-02-16,North,Electronics,13408.87,Jaipur
T1699,U187,2024-04-01,North,Sports,2769.85,Lucknow
T1490,U136,2024-02-01,South,Clothing,4659.72,Bengaluru
T79,U238,2024-06-17,North,Beauty,2463.52,Chandigarh
T900,U174,2024-05-15,West,Electronics,23801.41,Pune
T1132,U171,2024-06-14,West,Sports,2198.62,Pune
T1542,U7,2024-05-04,South,Electronics,5946.76,Kochi
T1443,U145,2024-03-23,East,Beauty,1241.94,Bhubaneswar
T1758,U17,2024-03-14,North,Clothing,4462.53,Jaipur
T1228,U274,2024-05-08,North,Clothing,3401.23,Lucknow
T1026,U157,2024-02-26,North,Furniture,22942.24,Jaipur
T1770,U126,2024-03-05,South,Sports,1110.65,Kochi
T433,U218,2024-01-24,East,Electronics,22761.75,Patna
T1852,U7,2024-01-28,West,Beauty,1254.02,Mumbai
T1646,U283,2024-06-10,South,Furniture,31246.74,Kochi
T1716,U166,2024-05-05,East,Grocery,844.3,Patna
T1230,U299,2024-02-27,North,Electronics,7754.39,Chandigarh
T427,U231,2024-05-02,North,Furniture,9055.55,Delhi
T1169,U123,2024-04-03,West,Grocery,789.24,Pune
T124,U148,2024-06-10,South,Sports,1982.38,Chennai
T1519,U22,2024-05-21,East,Sports,,Kolkata
T1262,U238,2024-05-10,East,Electronics,46708.59,Kolkata
T1156,U162,2024-06-16,East,Sports,5147.72,Bhubaneswar
T1403,U211,2024-06-28,West,Sports,4645.0,Mumbai
T1793,U226,2024-05-11,West,Electronics,47609.34,Pune
T560,U84,2024-05-25,East,Sports,1917.13,Kolkata
T47,U162,2024-01-01,South,Electronics,27112.9,Chennai
T1315,U126,2024-01-25,East,Clothing,3990.02,Bhubaneswar
T604,U94,2024-01-13,South,Clothing,4211.4,Kochi
T1216,U85,2024-04-02,South,Sports,7391.77,Chennai
T1275,U156,2024-06-08,East,Clothing,376.62,Patna
T1161,U87,2024-06-17,North,Beauty,,Jaipur
T538,U50,2024-01-22,North,Beauty,759.79,Chandigarh
T1352,U197,2024-06-06,West,Sports,7573.65,Surat
T591,U25,2024-06-04,South,Furniture,8292.11,Kochi
T436,U106,2024-02-26,West,Beauty,915.15,Ahmedabad
T119,U156,2024-01-08,West,Beauty,1828.77,Surat
T785,U194,2024-03-24,East,Electronics,24522.46,Patna
T916,U76,2024-06-05,South,Furniture,37318.76,Hyderabad
T1078,U198,2024-03-15,North,Grocery,1116.75,Chandigarh
T486,U44,2024-05-04,East,Furniture,5415.0,Bhubaneswar
T1160,U76,2024-01-12,West,Clothing,1067.14,Pune
T1053,U295,2024-01-28,North,Beauty,269.68,Jaipur
T28,U232,2024-01-08,East,Clothing,300.96,Kolkata
T1429,U115,2024-05-25,West,Furniture,54699.86,Ahmedabad
T1673,U248,2024-02-03,North,Sports,799.94,Lucknow
T1811,U62,2024-04-09,South,Grocery,1741.53,Chennai
T1004,U23,2024-01-16,West,Beauty,1243.53,Surat
T580,U3,2024-04-09,East,Beauty,2317.0,Kolkata
T1648,U144,2024-04-04,North,Grocery,1908.45,Jaipur
T633,U166,2024-06-04,North,Beauty,1754.85,
T1783,U294,2024-06-19,North,Furniture,28572.62,Jaipur
T687,U177,2024-04-26,South,Beauty,2657.9,Chennai
T116,U7,2024-05-10,South,Furniture,21101.65,Kochi
T989,U243,2024-04-06,East,Electronics,3174.37,Bhubaneswar
T393,U48,2024-05-20,North,Electronics,14946.44,Chandigarh
T1834,U96,2024-06-16,North,Grocery,1276.85,Jaipur
T1335,U286,2024-01-12,East,Grocery,625.03,Bhubaneswar
T336,U281,2024-05-07,East,Clothing,4301.53,Kolkata
T51,U284,2024-02-09,North,Sports,2841.61,Jaipur
T667,U130,2024-02-04,East,Beauty,2571.53,Bhubaneswar
T302,U154,2024-05-11,South,Furniture,49129.18,Hyderabad
T478,U258,2024-06-02,East,Beauty,2946.1,Kolkata
T651,U196,2024-01-13,North,Electronics,45611.13,Lucknow
T771,U65,2024-06-15,West,Electronics,7958.84,Pune
T1426,U46,2024-01-14,West,Clothing,4532.71,Pune
T1512,U187,2024-03-12,South,Clothing,4496.51,Bengaluru
T1945,U133,2024-02-17,South,Electronics,23505.78,Kochi
T1209,U51,2024-02-21,North,Grocery,263.51,Lucknow
T69,U210,2024-03-13,North,Grocery,852.48,Jaipur
T1654,U191,2024-02-25,North,Electronics,16270.16,Delhi
T1594,U260,2024-04-09,West,Sports,,Mumbai
T1544,U7,2024-01-26,West,Sports,816.98,Ahmedabad
T1201,U81,2024-05-16,West,Furniture,18915.46,Surat
T138,U123,2024-06-06,North,Beauty,,Delhi
T39,U200,2024-03-26,South,Furniture,42098.9,Hyderabad
T1331,U178,2024-04-13,West,Sports,4174.28,Surat
T1642,U3,2024-02-17,North,Grocery,1220.1,Delhi
T1508,U77,2024-02-04,East,Electronics,14056.15,Patna
T207,U57,2024-03-22,South,Electronics,11415.66,Hyderabad
T2117,U289,2024-05-15,North,Grocery,890.73,Lucknow
T453,U37,2024-02-13,West,Electronics,16010.9,Mumbai
T1702,U16,2024-02-19,South,Grocery,,Hyderabad
T1604,U208,2024-01-10,South,Beauty,,Kochi
T623,U210,2024-01-09,East,Electronics,46545.7,Kolkata
T2142,U81,2024-05-16,West,Furniture,18915.46,Surat
T2001,U161,2024-04-11,North,Grocery,1379.91,Lucknow
T1117,U224,2024-04-21,West,Grocery,559.97,Pune
T236,U122,2024-04-20,North,Grocery,1077.34,Chandigarh
T1440,U116,2024-06-24,West,Furniture,43916.33,Pune
T655,U110,2024-06-14,West,Beauty,2503.37,Pune
T2106,U286,2024-06-25,North,Sports,1664.78,Chandigarh
T1166,U3,2024-03-02,South,Sports,,Hyderabad
T1358,U70,2024-03-22,South,Furniture,5025.99,Kochi
T1676,U97,2024-04-04,North,Beauty,2308.65,Jaipur
T1825,U261,2024-02-01,West,Electronics,24674.11,Pune
T1409,U94,2024-02-09,South,Sports,7316.83,Kochi
T226,U82,2024-03-12,North,Furniture,46693.42,Chandigarh
T1218,U284,2024-03-24,North,Electronics,41436.68,Lucknow
T210,U67,2024-04-18,East,Beauty,2516.73,Bhubaneswar
T1339,U201,2024-01-18,South,Furniture,7409.66,Bengaluru
T361,U8,2024-02-07,West,Grocery,1397.34,Surat
T352,U74,2024-06-17,East,Clothing,1520.74,Patna
T968,U98,2024-03-23,South,Sports,5557.41,Chennai
T2062,U277,2024-02-19,South,Beauty,1955.38,Kochi
T5,U82,2024-06-14,North,Grocery,446.32,Lucknow
T1033,U235,2024-03-05,West,Sports,5687.79,Ahmedabad
T1043,U213,2024-04-10,East,Furniture,43987.73,Bhubaneswar
T1293,U211,2024-02-28,West,Furniture,28388.34,
T818,U43,2024-04-19,West,Clothing,608.38,Surat
T337,U227,2024-01-22,East,Beauty,1517.6,Bhubaneswar
T1855,U139,2024-01-03,West,Electronics,1229.72,Surat
T982,U42,2024-01-01,East,Sports,5266.28,Kolkata
T1344,U211,2024-04-06,West,Beauty,1313.4,Pune
T335,U42,2024-05-15,North,Beauty,425.41,
T349,U18,2024-04-20,West,Sports,497.26,Pune
T2064,U66,2024-01-13,North,Furniture,58790.54,Chandigarh
T1626,U266,2024-06-20,North,Grocery,1919.14,Lucknow
T1239,U192,2024-03-10,South,Grocery,301.44,Chennai
T238,U226,2024-04-25,North,Beauty,1629.63,Chandigarh
T666,U177,2024-02-14,East,Grocery,457.16,Kolkata
T958,U103,2024-05-13,East,Furniture,7397.4,Bhubaneswar
T611,U247,2024-03-22,South,Beauty,2686.98,Bengaluru
T1691,U148,2024-06-01,West,Beauty,2732.57,Pune
T322,U91,2024-01-27,South,Grocery,1874.49,Kochi
T557,U259,2024-04-21,West,Grocery,757.48,Mumbai
T2119,U170,2024-01-02,South,Grocery,1849.78,Chennai
T603,U184,2024-04-20,North,Clothing,4111.83,Delhi
T1023,U11,2024-03-07,West,Grocery,1673.2,Mumbai
T1400,U76,2024-03-08,East,Electronics,38663.12,Kolkata
T675,U90,2024-06-20,West,Grocery,,Ahmedabad
T439,U142,2024-06-05,East,Grocery,1428.56,Kolkata
T786,U225,2024-05-10,South,Beauty,641.22,Bengaluru
T1397,U179,2024-05-23,South,Sports,602.98,Hyderabad
T1760,U289,2024-05-23,West,Electronics,47520.44,Ahmedabad
T690,U59,2024-04-22,South,Grocery,1189.77,Kochi
T689,U81,2024-03-20,West,Furniture,48859.19,Pune
T316,U288,2024-06-09,East,Beauty,2248.58,Kolkata
T1029,U79,2024-02-08,West,Clothing,2957.72,Mumbai
T983,U146,2024-04-23,South,Grocery,303.31,Bengaluru
T1025,U168,2024-04-19,South,Clothing,2922.81,Kochi
T2107,U282,2024-04-21,West,Sports,678.8,Ahmedabad
T209,U149,2024-03-04,West,Sports,3530.64,Surat
T1649,U250,2024-04-15,South,Clothing,3189.97,Hyderabad
T872,U169,2024-05-14,East,Grocery,1231.87,Bhubaneswar
T1002,U237,2024-03-01,South,Grocery,668.05,Bengaluru
T973,U268,2024-04-22,East,Beauty,775.66,Bhubaneswar
T1056,U40,2024-05-07,East,Beauty,2282.62,Kolkata
T1729,U259,2024-04-13,West,Clothing,2141.88,Mumbai
T778,U160,2024-03-06,West,Clothing,2509.9,Mumbai
T1044,U213,2024-02-27,West,Grocery,620.4,
T1115,U147,2024-06-06,North,Furniture,15070.52,Jaipur
T1195,U10,2024-04-19,North,Clothing,4485.81,Delhi
T338,U262,2024-04-26,West,Grocery,1036.23,Surat
T1022,U278,2024-02-16,North,Furniture,,Chandigarh
T1662,U207,2024-01-18,West,Sports,277.74,Ahmedabad
T36,U94,2024-03-15,East,Furniture,48673.31,Kolkata
T176,U80,2024-04-21,West,Beauty,1283.54,Surat
T826,U76,2024-03-01,North,Clothing,2360.3,Delhi
T1655,U6,2024-06-11,East,Beauty,2406.19,Patna
T1573,U29,2024-02-13,East,Beauty,1854.74,Bhubaneswar
T1142,U189,2024-02-19,West,Sports,4277.83,Mumbai
T830,U103,2024-06-20,North,Furniture,39630.71,Delhi
T48,U260,2024-03-05,North,Grocery,751.66,Delhi
T451,U40,2024-02-19,East,Sports,3643.77,Bhubaneswar
T2030,U207,2024-03-21,East,Clothing,2556.06,Kolkata
T646,U155,2024-04-26,North,Sports,2645.19,Delhi
T840,U71,2024-05-18,East,Clothing,3504.95,Kolkata
T1601,U110,2024-03-19,West,Electronics,,Surat
T1083,U207,2024-01-08,South,Clothing,3871.12,Kochi
T1756,U39,2024-05-19,East,Beauty,1550.14,Bhubaneswar
T1677,U264,2024-03-25,North,Sports,1358.89,Chandigarh
T590,U274,2024-05-02,West,Sports,6713.54,Mumbai
T541,U265,2024-05-22,East,Furniture,11199.86,Kolkata
T29,U284,2024-02-19,East,Electronics,35538.13,Kolkata
T798,U21,2024-06-03,North,Grocery,1921.96,Delhi
T1430,U196,2024-06-21,South,Grocery,533.01,Bengaluru
T286,U208,2024-03-15,West,Grocery,890.42,Mumbai
T957,U171,2024-01-09,North,Furniture,5094.51,Jaipur
T1050,U148,2024-04-06,South,Electronics,6408.06,Bengaluru
T1893,U98,2024-04-12,East,Electronics,10193.89,Bhubaneswar
T1099,U121,2024-06-10,West,Clothing,749.46,Mumbai
T1950,U128,2024-02-03,West,Sports,,Pune
T1276,U253,2024-06-23,East,Grocery,1968.84,Kolkata
T2121,U45,2024-03-14,North,Sports,773.88,Delhi
T620,U243,2024-06-22,North,Electronics,5323.13,Chandigarh
T585,U258,2024-05-10,East,Electronics,15261.01,Kolkata
T2077,U147,2024-04-06,South,Beauty,2765.2,Hyderabad
T2103,U4,2024-06-24,West,Sports,6808.77,Mumbai
T2040,U279,2024-05-16,East,Furniture,17097.39,Bhubaneswar
T1348,U205,2024-05-26,East,Clothing,4569.45,Bhubaneswar
T1323,U44,2024-03-15,North,Beauty,219.31,Jaipur
T283,U173,2024-05-02,West,Electronics,47453.07,Mumbai
T357,U214,2024-05-17,East,Grocery,524.89,Patna
T1578,U159,2024-02-18,East,Electronics,12396.59,Bhubaneswar
T553,U209,2024-06-16,North,Beauty,2395.32,Delhi
T736,U133,2024-02-18,North,Clothing,2462.46,Jaipur
T908,U66,2024-05-04,South,Clothing,2869.52,Chennai
T1959,U140,2024-01-14,East,Furniture,39775.55,Kolkata
T301,U72,2024-03-20,North,Furniture,59446.33,Jaipur
T1401,U197,2024-04-23,West,Furniture,10783.59,Pune
T1587,U199,2024-02-07,West,Beauty,1920.59,Pune
T896,U147,2024-03-18,North,Sports,1073.56,Chandigarh
T483,U5,2024-03-01,South,Electronics,10657.12,Hyderabad
T537,U226,2024-04-09,East,Beauty,278.75,Patna
T1695,U5,2024-05-12,South,Furniture,52519.89,Chennai
T141,U125,2024-04-18,East,Grocery,1845.3,Patna
T56,U158,2024-03-26,West,Grocery,1370.49,Ahmedabad
T1261,U87,2024-02-18,South,Electronics,549.55,Kochi
T2129,U265,2024-01-15,West,Sports,5901.46,Ahmedabad
T1219,U271,2024-05-05,South,Sports,1760.3,Kochi
T81,U231,2024-03-25,East,Clothing,3875.91,Bhubaneswar
T2071,U196,2024-04-18,East,Grocery,960.25,Bhubaneswar
T509,U89,2024-02-08,North,Beauty,181.8,Lucknow
T706,U204,2024-02-14,South,Clothing,2883.65,Bengaluru
T535,U204,2024-04-16,North,Sports,4421.39,Delhi
T1442,U217,2024-06-16,North,Furniture,5237.57,Chandigarh
T1898,U280,2024-01-02,North,Beauty,2693.37,Delhi
T1165,U236,2024-06-22,South,Sports,7648.33,Kochi
T733,U217,2024-04-18,West,Furniture,51763.61,Ahmedabad
T15,U235,2024-02-09,East,Sports,4556.74,Kolkata
T1567,U7,2024-05-27,South,Grocery,950.13,Bengaluru
T1805,U162,2024-06-04,East,Sports,7667.23,Patna
T858,U13,2024-02-15,East,Electronics,12879.07,Patna
T2082,U209,2024-05-16,South,Furniture,57496.91,Chennai
T846,U14,2024-03-03,South,Beauty,2553.8,Bengaluru
T153,U148,2024-02-24,West,Electronics,38138.3,Surat
T6,U173,2024-01-03,South,Clothing,4267.97,Chennai
T217,U76,2024-02-04,East,Grocery,363.53,Patna
T1591,U236,2024-03-16,North,Sports,7404.66,Chandigarh
T737,U176,2024-03-06,South,Grocery,849.8,Kochi
T2020,U223,2024-06-27,West,Electronics,23231.65,Pune
T1383,U94,2024-04-21,West,Furniture,5129.11,Mumbai
T1380,U21,2024-05-26,South,Electronics,11836.0,Hyderabad
T1294,U220,2024-05-20,West,Sports,7510.04,Ahmedabad
T1778,U197,2024-04-01,South,Furniture,3620.52,Kochi
T152,U250,2024-05-02,West,Sports,5522.54,Pune
T549,U206,2024-01-13,North,Electronics,37414.62,Jaipur
T1560,U118,2024-04-03,South,Sports,,Bengaluru
T306,U294,2024-06-04,East,Furniture,19507.86,Kolkata
T1137,U67,2024-05-22,South,Furniture,29223.56,Hyderabad
T1857,U160,2024-03-14,West,Clothing,,Ahmedabad
T103,U138,2024-03-28,East,Clothing,4431.83,Kolkata
T2149,U12,2024-03-13,South,Beauty,,Hyderabad
T2017,U71,2024-04-20,North,Sports,5934.03,Lucknow
T2080,U133,2024-05-16,East,Sports,5395.85,Bhubaneswar
